HH MM       Wp      kak      lrm      wmq      izn      fur      ebr      tdc      sjg      tuc      hon      cnb   n
02 02    0.079    0.065    0.118  999.000    0.151    0.144    0.086    0.063    0.031    0.071    0.028    0.185   5
02 03    0.080    0.046    0.115  999.000    0.130    0.139    0.080    0.052    0.037    0.090    0.030    0.140   5
02 04    0.066    0.059    0.135  999.000    0.126    0.093    0.057    0.055    0.047    0.079    0.034    0.154   5
02 05    0.066    0.068    0.089  999.000    0.111    0.090    0.063    0.044    0.045    0.090    0.055    0.155   5
02 06    0.073    0.065    0.113  999.000    0.142    0.098    0.073    0.046    0.049    0.101    0.053    0.155   5
02 07    0.095    0.100    0.168  999.000    0.170    0.148    0.105    0.047    0.057    0.120    0.061    0.236   5
02 08    0.088    0.102    0.152  999.000    0.098    0.104    0.072    0.045    0.065    0.152    0.067    0.242   5
02 09    0.084    0.079    0.102  999.000    0.119    0.106    0.088    0.041    0.062    0.123    0.052    0.142   5
02 10    0.121    0.066    0.104  999.000    0.213    0.190    0.136    0.059    0.083    0.135    0.057    0.173   5
02 11    0.143    0.091    0.137  999.000    0.183    0.241    0.141    0.093    0.100    0.139    0.077    0.205   5
02 12    0.105    0.093    0.151  999.000    0.122    0.150    0.117    0.064    0.062    0.132    0.054    0.241   5
02 13    0.107    0.137    0.261  999.000    0.136    0.126    0.092    0.078    0.064    0.175    0.100    0.360   5
02 14    0.103    0.198    0.266  999.000    0.126    0.124    0.088    0.075    0.062    0.169    0.094    0.501   5
02 15    0.101    0.138    0.244  999.000    0.111    0.107    0.074    0.085    0.050    0.189    0.077    0.330   5
02 16    0.090    0.083    0.206  999.000    0.104    0.107    0.057    0.067    0.042    0.175    0.074    0.115   5
02 17    0.080    0.088    0.180  999.000    0.068    0.099    0.050    0.076    0.039    0.137    0.064    0.204   5
02 18    0.094    0.129    0.245  999.000    0.067    0.107    0.070    0.066    0.047    0.183    0.091    0.205   5
02 19    0.107    0.131    0.238  999.000    0.079    0.127    0.095    0.058    0.065    0.192    0.090    0.182   5
02 20    0.098    0.108    0.176  999.000    0.161    0.133    0.099    0.061    0.053    0.145    0.078    0.183   5
02 21    0.123    0.087    0.198  999.000    0.168    0.157    0.125    0.092    0.052    0.189    0.071    0.143   5
02 22    0.104    0.104    0.243  999.000    0.146    0.148    0.125    0.072    0.058    0.117    0.042    0.133   5
02 23    0.097    0.093    0.149  999.000    0.118    0.152    0.128    0.076    0.058    0.074    0.054    0.148   5
02 24    0.103    0.149    0.291  999.000    0.152    0.159    0.113    0.056    0.076    0.113    0.048    0.240   5
02 25    0.134    0.145    0.271  999.000    0.155    0.148    0.136    0.086    0.110    0.193    0.084    0.274   5
02 26    0.163    0.093    0.309  999.000    0.173    0.183    0.162    0.115    0.106    0.250    0.097    0.319   5
02 27    0.145    0.089    0.155  999.000    0.238    0.224    0.151    0.097    0.071    0.183    0.096    0.408   5
02 28    0.191    0.102    0.148  999.000    0.335    0.339    0.191    0.128    0.099    0.200    0.099    0.371   5
02 29    0.155    0.040    0.097  999.000    0.218    0.268    0.143    0.107    0.102    0.156    0.071    0.186   5
02 30    0.162    0.044    0.095  999.000    0.148    0.173    0.140    0.110    0.153    0.235    0.089    0.116   5
02 31    0.158    0.135    0.151  999.000    0.151    0.171    0.152    0.113    0.131    0.226    0.116    0.162   5
02 32    0.280    0.180    0.160  999.000    0.183    0.216    0.177    0.144    0.319    0.543    0.196    0.149   5
02 33    0.361    0.189    0.166  999.000    0.275    0.346    0.231    0.136    0.447    0.645    0.166    0.128   5
02 34    0.262    0.119    0.092  999.000    0.152    0.176    0.170    0.168    0.262    0.532    0.138    0.201   5
02 35    0.242    0.078    0.093  999.000    0.145    0.191    0.220    0.162    0.254    0.382    0.140    0.196   5
02 36    0.450    0.130    0.167  999.000    0.233    0.321    0.165    0.133    0.621    1.011    0.230    0.151   5
02 37    0.472    0.127    0.153  999.000    0.242    0.378    0.152    0.163    0.601    1.068    0.234    0.285   5
02 38    0.343    0.106    0.137  999.000    0.167    0.288    0.193    0.202    0.293    0.739    0.165    0.400   5
02 39    0.256    0.097    0.156  999.000    0.145    0.237    0.171    0.160    0.137    0.575    0.143    0.239   5
02 40    0.216    0.131    0.263  999.000    0.155    0.242    0.121    0.110    0.147    0.460    0.069    0.272   5
02 41    0.133    0.171    0.153  999.000    0.113    0.142    0.108    0.087    0.110    0.220    0.109    0.325   5
02 42    0.128    0.090    0.120  999.000    0.124    0.162    0.089    0.118    0.030    0.240    0.074    0.240   5
02 43    0.104    0.077    0.131  999.000    0.138    0.140    0.087    0.091    0.035    0.168    0.070    0.213   5
02 44    0.096    0.096    0.137  999.000    0.148    0.169    0.110    0.086    0.038    0.151    0.075    0.156   4
02 45    0.101    0.089    0.088  999.000    0.137    0.204    0.094    0.069    0.057    0.184    0.077    0.214   4
02 46    0.129    0.096    0.127  999.000    0.102    0.224    0.111    0.077    0.110    0.217    0.052    0.237   4
02 47    0.382    0.202    0.280  999.000    0.151    0.229    0.198    0.088    0.418    0.823    0.127    0.360   4
02 48    0.449    0.231    0.330  999.000    0.241    0.367    0.250    0.139    0.500    0.908    0.190    0.438   4
02 49    0.298    0.136    0.232  999.000    0.151    0.287    0.228    0.243    0.274    0.449    0.136    0.351   4
02 50    0.187    0.125    0.222  999.000    0.176    0.180    0.181    0.210    0.142    0.215    0.063    0.305   4
02 51    0.124    0.138    0.203  999.000    0.129    0.201    0.156    0.106    0.087    0.145    0.065    0.304   4
02 52    0.164    0.131    0.175  999.000    0.126    0.118    0.152    0.045    0.116    0.341    0.100    0.322   4
02 53    0.099    0.123    0.157  999.000    0.172    0.245    0.066    0.049    0.075    0.204    0.086    0.340   4
02 54    0.073    0.123    0.187  999.000    0.118    0.159    0.082    0.048    0.056    0.106    0.100    0.479   4
02 55    0.093    0.069    0.133  999.000    0.135    0.143    0.118    0.048    0.058    0.148    0.053    0.417   4
02 56    0.087    0.120    0.148  999.000    0.125    0.114    0.118    0.044    0.067    0.117    0.083    0.320   4
02 57    0.123    0.120    0.101  999.000    0.096    0.108    0.087    0.058    0.093    0.256    0.125    0.216   4
02 58    0.145    0.089    0.107  999.000    0.147    0.170    0.110    0.069    0.118    0.283    0.089    0.179   4
